,time,r,l,r_peak,r_trough,l_peak,l_trough
1,33.333333333333336,94.90467086357836,83.48158616786715,,,,
2,66.66666666666667,71.72179743411712,81.36573742602855,,,,
3,100.0,22.59081290228855,47.701981443141094,,,,
4,133.33333333333334,21.0283301612657,24.263663245031953,,True,,
5,166.66666666666669,23.48880878058814,23.294356570684897,,,,
6,200.0,22.53687534923818,22.665969681798696,,,,True
7,233.33333333333334,24.58581856772376,24.604621362479907,,,,
8,266.6666666666667,58.09693236045893,55.32966510973327,,,,
9,300.0,79.52189793711727,70.37409460007525,True,,,
10,333.33333333333337,70.8339199752981,72.10101217513316,,,True,
11,366.6666666666667,37.029673973232526,66.18916283132864,,,,
12,400.0,24.783034175852244,59.442938411259014,,True,,
13,433.33333333333337,26.78136253647945,58.93152117267662,,,,
14,466.6666666666667,25.793689182098746,49.164075902478096,,,,
15,500.0,35.313720046596785,27.574342218664118,,,,
16,533.3333333333334,45.36084755460607,23.10282726428615,,,,
17,566.6666666666666,31.94823399144957,20.920234382273907,,,,
18,600.0,28.484364594794254,20.880373626374755,,,,
19,633.3333333333334,26.872095814591013,20.880373626374755,,,,True
20,666.6666666666667,28.212465416339533,20.880373626374755,,,,
21,699.9000000000001,40.0,30.700422925209452,,,,
22,733.1333333333334,83.2260296308408,67.3907727028513,,,,
23,766.5555555555555,98.0127077077812,82.5482784357253,,,,
24,799.9777777777778,100.0,90.12626521891646,True,,,
25,833.2222222222223,99.47937497101972,92.10126877562837,,,,
26,866.4666666666667,89.79580170618665,94.47967681327802,,,True,
27,899.8777777777777,59.51119348577559,90.03686492357009,,,,
28,933.2888888888889,24.253562503633297,69.4685662694136,,True,,
29,966.5333333333333,25.365482607487493,29.406798345748463,,,,
30,999.7777777777778,24.4700421221633,25.38238526637338,,,,
31,1033.1888888888889,25.47719021193928,25.338584741475135,,,,True
32,1066.6,30.38628921089434,28.329398967788666,,,,
33,1099.8444444444444,68.1544600592176,56.388583181760474,,,,
34,1133.088888888889,71.5235531923408,64.45895559502188,True,,True,
35,1166.5111111111112,35.17559544930238,50.60039415775084,,,,
36,1199.8333333333333,26.67511698429382,24.638457667298724,,,,
37,1233.1555555555556,24.4700421221633,24.638457667298724,,True,,
38,1266.4777777777779,27.557794699168902,22.4690845647403,,,,
39,1299.8,28.838221200836877,22.40720318983019,,,,True
40,1333.1222222222223,57.99209570536491,36.585749665536184,,,,
41,1366.4444444444446,82.50145981866595,63.34646185368784,,,,
42,1399.7666666666669,83.2260296308408,68.50650183905049,,,,
43,1433.088888888889,82.18615391003112,71.45879473253444,,,,
44,1466.411111111111,84.1133206450628,76.72844023361314,,,,
45,1499.7333333333333,87.63746084643569,86.91062865353096,,,,
46,1533.0555555555557,89.79580170618665,94.09089415093067,True,,True,
47,1566.377777777778,80.40970141180667,93.45418710510356,,,,
48,1599.7,29.72490504132897,81.64512313439246,,,,
49,1633.0222222222224,21.693045781865614,39.52649482803561,,,,
50,1666.3444444444447,21.6368703424273,26.34865455348096,,True,,
51,1699.6666666666667,24.733877696033694,25.51333567253964,,,,True
52,1733.1000000000001,25.620098601150175,26.253628040365513,,,,
53,1766.4222222222224,45.947319689102386,29.217319579301865,,,,
54,1799.7444444444445,69.30545026262709,54.58688352868355,,,,
55,1833.0666666666668,71.84612811947939,62.959502197583404,True,,,
56,1866.388888888889,49.574252297661644,63.874703787562915,,,,
57,1899.7111111111112,27.74850835674489,66.8321559807498,,,,
58,1933.0333333333333,28.838221200836877,71.56364425542422,,,True,
59,1966.3555555555556,29.326448266902666,66.92765723089369,,,,
60,1999.677777777778,27.9669465873534,35.09814857402135,,,,
61,2033.0,29.326448266902666,26.253628040365513,,,,
62,2066.3222222222225,29.505732244669296,24.59333224907881,,,,
63,2099.6444444444446,28.484364594794254,20.9865007325278,,,,True
64,2132.9666666666667,25.997347344787258,28.476057750986,,True,,
65,2166.288888888889,28.441605954834216,61.477684511236234,,,,
66,2199.6111111111113,53.17505248607238,79.5886396981919,,,,
67,2232.9333333333334,80.83238360552603,83.20502943378439,,,,
68,2266.2555555555555,86.08218159311261,90.54741110223648,True,,,
69,2299.577777777778,72.26837519093905,95.62783084839202,,,,
70,2332.9,25.237211329697207,97.85820775656123,,,True,
71,2366.2222222222226,24.733877696033694,87.51244605417504,,,,
72,2399.5444444444447,23.419622153774338,55.39487393037133,,True,,
73,2432.866666666667,23.48880878058814,26.211283451448438,,,,
74,2466.188888888889,27.395384636677043,25.61110908641971,,,,True
75,2499.511111111111,57.09676495171436,26.870460745022957,,,,
76,2532.9444444444443,89.82742074245135,54.729142960052876,,,,
77,2566.266666666667,94.30432804507147,79.91247642145089,True,,,
78,2599.588888888889,89.13376232498489,84.02866439422809,,,,
79,2632.9111111111115,72.11665105248835,82.31582827476042,,,,
80,2666.2333333333336,52.25153704660037,83.73733413158432,,,,
81,2699.5555555555557,51.34301779865913,93.39771123108245,,,,
82,2732.8777777777777,52.24377249688121,100.0,,,True,
83,2766.2,59.62016348957228,94.83466078027398,,,,
84,2799.5222222222224,41.44450577366715,61.477684511236234,,,,
85,2832.8444444444444,27.74850835674489,24.056768924248775,,,,
86,2866.166666666667,25.793689182098746,25.870031683294105,,,,
87,2899.488888888889,25.620098601150175,23.294356570684897,,True,,
88,2932.811111111111,26.67511698429382,22.233019068637866,,,,True
89,2966.1333333333337,42.335470816438225,36.585749665536184,,,,
90,2999.4555555555557,83.03082347573594,71.1159899896871,,,,
91,3032.777777777778,86.74412723952939,75.05991312397241,True,,True,
92,3066.1,62.93691100407043,72.84056838892273,,,,
93,3099.4222222222224,20.73693043764335,66.18916283132864,,True,,
94,3132.7444444444445,23.436937958102096,42.714086626478995,,,,
95,3166.066666666667,22.680423777303034,26.46433469464753,,,,
