,time,r,l,r_peak,l_peak
1,57.77777777777778,83.67908807475077,40.415257230529264,,
2,91.0888888888889,93.35983287346107,40.89968512726474,,
3,124.4,93.9210726259644,30.892426053426565,,
4,157.6888888888889,89.80920571220376,37.87672602293725,,
5,191.01111111111112,38.25576622726352,16.92576873496362,,
6,224.32222222222222,13.696395178144957,9.31878475599467,,
7,257.62222222222226,15.473075272684502,10.1906622520415,,
8,290.9222222222223,14.549186647946625,10.035746315953471,,
9,324.23333333333335,24.16488373320708,10.1906622520415,,
10,357.53333333333336,44.03880173658408,39.62672745882244,,
11,390.85555555555555,72.22228460911899,41.470292243539205,,
12,424.1666666666667,81.55872005811669,23.7583326568939,True,
13,457.61111111111114,67.81791852447773,44.22312596581119,,True
14,490.75555555555553,11.106649550317892,15.662053201112721,,
15,524.0777777777778,11.494206728659787,12.061465976573025,,
16,557.3777777777777,15.283214398017403,12.28212084252273,,
17,590.6777777777778,16.210296808748975,14.06596557814212,,
18,623.9777777777779,25.701827592718757,12.782177610187187,,
19,657.2888888888889,48.397683481994854,25.981192839796503,,
20,690.588888888889,70.0052135701856,53.062015034959586,True,
21,723.9,66.20582813342128,61.792096622573254,,True
22,757.2444444444445,10.567820594464514,41.502661411139634,,
23,790.5222222222222,9.08194647775561,13.547225003003582,,
24,823.8333333333334,12.232540067228486,11.549589473650041,,
25,857.1333333333334,13.77610329149031,11.855591853281078,,
26,890.4333333333334,30.338720411454062,10.788103132767267,,
27,923.7444444444445,58.35957004689457,47.76096854527941,,
28,957.0555555555555,78.21456544771686,70.45383003440946,True,True
29,990.3555555555556,77.42196447999498,68.99327228369312,,
30,1023.6555555555556,22.425871399550946,31.509331297542055,,
31,1056.9777777777779,7.876788407748299,11.432727214741742,,
32,1090.2888888888888,7.876788407748296,7.831026600556361,,
33,1123.588888888889,9.741176055739116,6.888288817188655,,
34,1156.9111111111113,19.724378187677072,9.001143864442868,,
35,1190.2111111111112,49.19794666654675,29.808400395009816,,
36,1223.5222222222221,72.50471920205844,64.26013047640909,,
37,1256.8222222222223,72.69574631879581,70.88455061973815,True,True
38,1290.1333333333334,29.620470333431953,57.261435351498804,,
39,1323.4333333333334,12.321721369932376,14.688651762494098,,
40,1356.7555555555557,10.9411164511251,13.178751786763316,,
41,1390.0666666666668,11.13946099418082,10.1906622520415,,
42,1423.3888888888891,14.524080181184937,9.001143864442868,,
43,1456.6777777777777,43.31180449668571,20.082640365413937,,
44,1489.9777777777779,62.297848259873454,56.96753382826471,,
45,1523.277777777778,73.82164341503345,73.52549360248936,True,True
46,1556.6444444444444,66.97313983869961,71.59145005292457,,
47,1589.9,6.888051645745155,21.262733822280126,,
48,1623.2,12.232540067228486,14.810047643093165,,
49,1656.5111111111112,11.620520485346814,9.64917278125842,,
50,1689.8222222222223,11.869115906787629,8.16679303673871,,
51,1723.1333333333334,17.172376392011245,12.300330075416262,,
52,1756.4333333333336,49.18310789478213,32.14225319521848,,
53,1789.7222222222222,62.50839359696418,61.20616934282198,,
54,1823.0444444444445,73.30070054733396,73.0000429231794,True,True
55,1856.3555555555556,56.992764299354285,61.831926286715934,,
56,1889.6333333333334,8.414447082727966,16.19597969500796,,
57,1922.9444444444446,8.54357657716761,9.878401242162814,,
58,1956.2444444444445,10.874197679943185,10.47228511812702,,
59,1989.5666666666666,8.796150451971739,8.16679303673871,,
60,2022.877777777778,19.668790350924308,15.619123783135516,,
61,2056.1777777777775,52.83910297232257,43.447042234903684,,
62,2089.488888888889,67.1092365851117,67.36503799284891,True,True
63,2122.7888888888892,62.19817632926331,66.20550734812714,,
64,2156.1,30.80430342483094,11.684451635693376,,
65,2189.4,9.741176055739116,11.703590799439127,,
66,2222.711111111111,9.963436806278278,8.723341536128999,,
67,2256.0222222222224,9.741176055739116,8.084158940999876,,
68,2289.322222222222,9.963436806278278,8.97624438696602,,
69,2322.6333333333337,36.267457412304,18.273756321525088,,
70,2355.933333333334,54.58536473997056,49.82062722453078,,
71,2389.2444444444445,68.3539521441345,66.45520027573802,True,True
72,2422.566666666667,55.117657827411,62.483659457447516,,
73,2455.8555555555554,9.741176055739116,17.05748876617122,,
74,2489.255555555556,15.473075272684502,9.294736239114055,,
75,2522.4666666666667,13.069159104855569,9.878401242162814,,
76,2555.766666666667,9.741176055739116,10.212601270442418,,
77,2589.077777777778,9.665953493282831,11.703590799439127,,
78,2622.411111111111,40.7323469443051,18.014715958000796,,
79,2655.7,60.321522953145525,47.38931881815083,True,
80,2689.0111111111114,47.45339626958484,56.47033589565683,,True
81,2722.311111111111,11.462410798513051,18.923584731409633,,
82,2755.6000000000004,13.508580673957479,12.061465976573023,,
83,2788.911111111111,11.494206728659787,10.788103132767267,,
84,2822.2222222222226,11.494206728659787,11.373845824747269,,
85,2855.5333333333333,27.9859192958194,13.28025843499548,,
86,2888.8444444444444,49.53064376255215,21.262733822280126,,
87,2922.1444444444446,71.09672654593491,56.521836440693164,,
88,2955.4777777777776,75.51767811598286,69.18440320816156,True,True
89,2988.777777777778,63.504698372076895,61.58529396944934,,
90,3022.0555555555557,10.705070767911131,8.16679303673871,,
91,3055.366666666667,11.869115906787629,12.28212084252273,,
92,3088.6666666666665,13.508580673957479,8.383169394435038,,
93,3121.988888888889,11.620520485346814,6.1683339548030895,,
94,3155.2777777777783,13.345493238581401,10.035746315953471,,
95,3188.6,38.908464543575676,15.662053201112721,,
96,3221.9,61.37713975635825,36.40024201322441,,
97,3255.211111111111,65.39046114502577,59.66933653452923,True,True
98,3288.511111111111,30.673700663740576,32.67402276507502,,
99,3321.8222222222225,9.241291027449282,10.891340921691675,,
100,3355.133333333333,12.232540067228486,12.300330075416262,,
101,3388.4222222222224,9.665953493282831,9.64917278125842,,
102,3421.7444444444445,10.42876426464762,8.515613129134337,,
