,time,r,l,r_peak,l_peak
1,58.211111111111116,85.87474768282878,80.48487016223538,,
2,91.52222222222223,91.63818425240777,60.98253496743617,,
3,124.84444444444445,46.44943086017683,19.284370798796044,,
4,158.13333333333335,12.465707924866756,10.931017567580996,,
5,191.43333333333334,12.35715107175832,33.421601151173014,,
6,224.74444444444447,26.537006255021893,64.53888885625702,,
7,258.0444444444445,73.85765864912028,87.6360075124031,,
8,291.3666666666667,95.42672930833906,89.03425978795913,True,True
9,324.6777777777778,78.15348555509416,61.70476493519654,,
10,357.97777777777776,26.83991150741819,22.497603789672866,,
11,391.27777777777777,6.357701775596365,20.548300764170857,,
12,424.5888888888889,14.216253350904587,45.50699677766738,,
13,457.8888888888889,49.59188512762035,73.2817082692933,,
14,491.21111111111117,73.81508062535985,87.6360075124031,,True
15,524.5000000000001,87.52205198759502,61.99238379662736,True,
16,557.8111111111111,65.64153899069626,21.0006760600428,,
17,591.1333333333334,16.13960473256334,12.097032235101855,,
18,624.4222222222222,9.52477186499561,22.28776146083513,,
19,657.7444444444444,30.754458241003945,50.51922125738854,,
20,691.0333333333334,73.56520018191158,78.26489873951361,,
21,724.3444444444444,89.19432388888,79.3763027340359,True,True
22,757.6444444444445,68.77558970284602,48.08893999904335,,
23,790.9555555555556,14.216253350904587,21.443510105924478,,
24,824.2777777777778,7.217850662397788,20.88850071948313,,
25,857.5666666666667,7.641006582007047,42.295990300052964,,
26,890.8888888888889,45.422851365918945,74.23730024048587,,
27,924.188888888889,78.89131154377469,84.86531230404395,,True
28,957.4888888888889,81.04234271794573,68.61238416097886,True,
29,990.7888888888889,52.341216857513096,30.047734505771228,,
30,1024.1,12.644565097218619,17.28345632843474,,
31,1057.411111111111,13.403212196654149,32.46387947392326,,
32,1090.7222222222224,14.24781000094571,65.4682966943144,,
33,1124.0444444444445,62.06859555530647,79.09673326629029,,True
34,1157.3333333333333,76.58619375060874,65.73434588584118,True,
35,1190.6444444444444,54.691018624534394,27.480640600984994,,
36,1223.9555555555557,12.644565097218619,14.7704005075666,,
37,1257.2444444444445,12.35715107175832,27.820520098023604,,
38,1290.5555555555557,11.568765811678496,60.899921425373805,,
39,1323.877777777778,45.05553127231423,83.65838018643363,,True
40,1357.177777777778,82.5413728737009,80.08353026577623,True,
41,1390.4777777777779,74.53559924999298,34.77987240828414,,
42,1423.788888888889,23.311573177186673,11.143880730417566,,
43,1457.1000000000001,13.799451547791705,16.096974032447076,,
44,1490.411111111111,17.085810133891083,41.77700143896626,,
45,1523.7111111111112,57.64939546940594,78.57306315530859,,
46,1557.0333333333335,83.90132489021185,93.07426076553288,,True
47,1590.322222222222,88.2782402182939,82.07060585764825,True,
48,1623.6222222222223,32.34870192331119,43.79310226356377,,
49,1656.9444444444446,11.87527626175504,20.727197141660643,,
