,time,r,l,r_peak,l_peak
1,33.333333333333336,92.59809058657277,82.98940852268723,,
2,66.66666666666667,91.43589023375065,90.20299441351511,,
3,100.0,91.20266667855938,92.85769550560094,,
4,133.33333333333334,92.12710010557483,93.64112700635116,,
5,166.66666666666669,92.12710010557483,94.64765676260104,,
6,200.0,92.12710010557483,94.64765676260104,,
7,233.33333333333334,93.28068895169699,94.64765676260104,,
8,266.6666666666667,92.35798929936003,95.65466385274355,,
9,300.00000000000006,92.35798929936003,98.67840295710157,,
10,333.33333333333337,91.43589023375065,94.64765676260104,,
11,366.6666666666667,89.84105756519992,91.09067960589631,,
12,400.0,89.84105756519992,90.09141877796802,,
13,433.33333333333337,91.6784064853711,90.09141877796802,,
14,466.6666666666667,90.75938866263414,90.85209243512878,,
15,500.0,91.43589023375065,94.64765676260104,,
16,533.3333333333334,92.35798929936003,95.65466385274355,,
17,566.6666666666666,93.28068895169699,95.65466385274355,,
18,600.0000000000001,91.43589023375065,92.63509014345865,,
19,633.3333333333334,70.14446885382229,51.90902984612511,,
20,666.6666666666667,21.07325149530503,12.89284748013832,,
21,700.0000000000001,4.257439723994211,8.851459340189745,,
22,735.0000000000001,3.4324576402686366,4.242515909074551,,
23,768.3333333333334,3.9251654809609384,5.144806238669912,,
24,801.6666666666667,10.471917096254895,12.517853845690343,,
25,835.0000000000001,47.599623164794984,52.274877183424216,,
26,868.3333333333334,79.19295662615197,67.41070599066495,True,True
27,901.6666666666667,78.42245575132493,60.39397738160945,,
28,935.0,57.538474884889226,44.673985215141116,,
29,968.3333333333334,24.083715994634318,9.486553968315013,,
30,1001.6666666666667,3.4324576402686366,11.504136480730931,,
31,1035.0000000000002,6.731603264350161,8.791448754425746,,
32,1068.3333333333333,8.567932169663097,9.486553968315013,,
33,1101.6666666666667,8.620658403748521,11.365248453917294,,
34,1135.0,42.499826738390176,46.927853121825315,,
35,1168.3333333333335,75.23150181490035,79.8953789168088,,
36,1201.6666666666667,92.34817598696986,89.89730038326537,,True
37,1235.0,93.46995360895369,81.5415271247992,True,
38,1268.3333333333333,84.31450655700179,76.12227215229701,,
39,1301.6666666666667,50.59013710286104,57.594261816406785,,
40,1335.0000000000002,9.424244570090226,8.485031818149102,,
41,1368.3333333333335,7.435298827922379,10.340932558679883,,
42,1401.6666666666667,5.126636309998365,8.485031818149102,,
43,1435.0,4.038961958610097,12.0436826244859,,
44,1468.3333333333335,25.544638343965264,24.0873652489718,,
45,1501.6666666666667,57.72717768679809,49.31505439244709,,
46,1535.0000000000002,81.87135184344737,65.75698398115225,,True
47,1568.3333333333333,92.38742298236126,64.75919478057848,,
48,1601.6666666666667,100.0,60.2184131224295,True,
49,1635.0,76.87597029483845,20.57922495467965,,
50,1668.3333333333335,26.519441331476486,13.99538606568539,,
51,1701.666666666667,7.850330961921877,9.486553968315013,,
52,1735.0,6.930609746561,12.390334182500878,,
53,1768.3333333333335,7.850330961921877,10.593804436077582,,
54,1801.6666666666667,36.12557399195147,47.866056277575495,,
55,1835.0000000000002,73.80244438726193,78.87509810524294,,True
56,1868.3333333333335,88.09917459360604,76.18483555716595,True,
57,1901.6666666666667,59.80149629883421,51.745600775104506,,
58,1935.0,6.930609746561,9.761583500664463,,
59,1968.3333333333335,8.620658403748521,8.231689981871861,,
60,2001.666666666667,9.567405848368287,10.340932558679883,,
61,2035.0000000000002,10.643599309985524,11.365248453917294,,
62,2068.3333333333335,42.275326020500046,40.35312629130816,,
63,2101.666666666667,81.05923737457942,79.51680439409127,,
64,2135.0000000000005,90.56445955262122,85.42857421079158,True,True
65,2168.3333333333335,74.50519516989867,48.43774281006099,,
66,2203.3333333333335,22.285572200290545,5.144806238669912,,
67,2236.666666666667,8.620658403748521,6.258926922845172,,
68,2270.0,8.776936838364316,4.365512855105221,,
69,2303.3333333333335,9.376038399382912,5.99982353719685,,
70,2336.666666666667,34.01958088027971,31.243845344161603,,
71,2370.0,68.55006809728805,68.87894568215171,,
72,2403.3333333333335,86.10665263531457,79.51680439409127,True,True
73,2436.666666666667,81.59414053818412,63.17017610198625,,
74,2470.0,49.977337622912344,20.986773923705428,,
75,2503.3333333333335,6.864915280537273,13.99538606568539,,
76,2536.6666666666665,5.790744084862601,11.129917617510836,,
77,2570.0000000000005,6.731603264350161,11.9996470743937,,
78,2603.3333333333335,21.47792894898498,15.571009154787133,,
79,2636.6666666666665,66.88382250776307,57.400914696028224,,
80,2670.0000000000005,85.68461038042332,84.25552905781987,True,True
81,2703.3333333333335,71.80446935831792,72.44501026965091,,
82,2736.666666666667,27.722438986244,41.42767173251887,,
83,2770.0,7.250158598954047,7.275854758508701,,
84,2803.3333333333335,7.850330961921877,8.231689981871861,,
85,2836.666666666667,5.7119547797753984,10.340932558679883,,
86,2870.0,7.850330961921877,13.376496220541773,,
87,2903.3333333333335,60.72637471931501,45.554056336434165,,
88,2936.666666666667,84.86093070588056,75.28312538482831,,
89,2970.0,88.61715307287899,75.9621537931462,True,True
90,3003.3333333333335,79.478543404495,56.705007840933575,,
91,3036.666666666667,30.75981785999019,6.507722333776308,,
92,3070.0000000000005,6.864915280537273,7.275854758508701,,
93,3103.3333333333335,7.435298827922379,9.317640390449638,,
94,3136.6666666666665,9.519924632958997,10.340932558679883,,
95,3170.0000000000005,30.419101446719477,20.501907618250915,,
96,3203.3333333333335,71.36769461015072,57.400914696028224,,
97,3236.666666666667,87.76936838364314,71.436889782594,,True
98,3270.0,92.38742298236126,64.39850785272917,True,
99,3303.3333333333335,74.34079826548842,25.74460219319304,,
100,3336.666666666667,18.968315452837697,6.258926922845172,,
101,3370.0,2.8559773898876992,5.246693480926357,,
102,3403.333333333334,6.864915280537273,5.144806238669912,,
103,3436.666666666667,9.519924632958997,7.490950955314587,,
104,3470.0,38.845492242172774,15.571009154787133,,
105,3503.3333333333335,77.3226540037651,42.797861644657125,,
106,3536.666666666667,84.77545001865519,56.7423383307182,,True
107,3570.0000000000005,86.65223454520164,55.801584514275795,True,
108,3605.0000000000005,82.91083763028871,48.63406862500509,,
109,3638.3333333333335,38.10349091062204,10.493386961852714,,
110,3671.666666666667,5.790744084862601,9.317640390449638,,
111,3705.0,5.126636309998365,10.289612477339825,,
112,3738.333333333334,7.250158598954047,11.365248453917294,,
113,3771.666666666667,19.276378201586517,11.731963280456329,,
114,3805.0,59.00817600944443,41.00381523650183,,
115,3838.3333333333335,81.0089091205212,67.00110220880163,True,True
116,3871.666666666667,66.24390150144967,54.30147400768318,,
117,3905.0000000000005,24.083715994634318,23.688466859408297,,
118,3938.3333333333335,6.663947243071297,8.295750792242243,,
119,3971.666666666667,6.0209289986585794,8.485031818149102,,
120,4005.0,6.930609746561,9.486553968315013,,
121,4038.333333333334,13.630457743058372,13.376496220541773,,
122,4071.6666666666674,55.45305025906381,38.182643181670954,,
123,4105.0,83.91045401013977,67.1983387326483,,
124,4138.333333333334,84.86093070588056,70.72190708595187,True,True
125,4171.666666666667,58.44489448616537,43.65512855105221,,
126,4205.0,6.386159585991316,9.486553968315011,,
127,4238.333333333333,5.5510222577336705,10.289612477339825,,
128,4271.666666666666,3.9251654809609384,9.203309184584747,,
129,4305.000000000001,13.630457743058372,9.317640390449638,,
130,4338.333333333334,49.07149478574625,35.48051754784882,,
131,4371.666666666667,75.9329622390402,60.647642824772376,,True
132,4405.0,82.31845306088726,50.25082665660122,True,
133,4438.333333333333,79.70627608731377,33.2148945777415,,
134,4471.666666666667,61.41642715118386,8.295750792242243,,
135,4505.0,10.297372920805909,6.902481888438559,,
136,4538.333333333334,6.095726015583377,6.5885667047446095,,
137,4571.666666666667,6.095726015583377,7.419945078340557,,
138,4605.0,9.424244570090226,15.706411782957236,,
139,4638.333333333334,40.66913585957114,48.807917503322315,,
140,4671.666666666667,76.45038884113333,73.66241513050366,,True
141,4705.0,82.07036420096935,53.476295070457894,True,
142,4738.333333333333,45.02632504918873,7.275854758508701,,
143,4771.666666666667,6.930609746561,7.490950955314587,,
144,4805.000000000001,5.385282611480129,6.507722333776308,,
145,4838.333333333334,9.424244570090226,11.365248453917294,,
146,4871.666666666667,31.314619612671574,22.566881949700317,,
147,4905.0,68.86663734604078,58.92993210440293,,
148,4938.333333333333,69.91151609984327,59.091408853721106,True,True
149,4971.666666666667,34.4036957771238,22.73049690783459,,
150,5005.0,6.0209289986585794,9.486553968315013,,
151,5038.333333333334,6.930609746561,7.836335397468634,,
152,5073.333333333333,6.930609746561,11.731963280456329,,
153,5106.666666666667,39.96101054282045,52.16336272518639,,
154,5140.000000000001,78.34730244632725,85.55860726966533,True,True
155,5173.333333333334,76.45038884113333,76.48304323570005,,
156,5206.666666666667,44.33669192918536,43.99335817814281,,
157,5240.0,5.126636309998365,5.541125899202251,,
158,5273.333333333333,4.759962316479498,6.5885667047446095,,
159,5306.666666666667,4.257439723994211,7.419945078340557,,
160,5340.000000000001,10.770565222960258,8.731025710210442,,
161,5373.333333333334,43.050694937505234,29.464966052201465,,
162,5406.666666666667,67.6115744193888,59.936440660125655,,
163,5440.0,74.04763590785177,66.50147170165462,,True
164,5473.333333333334,75.9329622390402,49.774504753453456,True,
165,5506.666666666667,59.36800863697271,5.246693480926357,,
166,5540.0,12.116885875830292,12.560072696899601,,
167,5573.333333333333,6.095726015583377,9.707200996739811,,
168,5606.666666666667,4.759962316479498,8.295750792242243,,
169,5640.000000000001,14.809527181570356,11.731963280456329,,
170,5673.333333333334,53.28607204504275,44.42444111934941,,
171,5706.666666666667,77.01142428709421,68.01270394829866,True,True
172,5740.0,73.91901176888233,61.26425245527918,,
173,5773.333333333333,49.375288950680634,35.225958953937045,,
